Gene	NCBI gene ID	Chromosome	Locus	No of Studies	Proteins
ABL2	27	1	1q25.2	44	XP_005245145;XP_016856524;XP_054191965;XP_054191966;NP_001129472;NP_001129473;NP_001161708;NP_001161709;NP_001161710;NP_001161711;NP_005149;NP_009298;P42684;ENSP00000339209;ENSP00000427562;ENSP00000423578;ENSP00000426831;ENSP00000356595;ENSP00000423413;ENSP00000424697
ABLIM1	3983	10	10q25.3	58	XP_006717900;XP_006717909;XP_011538103;XP_011538104;XP_016871734;XP_016871736;XP_016871739;XP_016871744;XP_016871745;XP_024303778;XP_024303779;XP_024303781;XP_024303782;XP_024303784;XP_024303786;XP_047281185;XP_047281187;XP_047281188;XP_047281189;XP_047281190;XP_047281192;XP_047281193;XP_047281194;XP_047281195;XP_047281196;XP_047281198;XP_047281199;XP_047281200;XP_047281201;XP_047281202;XP_054221882;XP_054221883;XP_054221884;XP_054221885;XP_054221886;XP_054221887;XP_054221888;XP_054221889;XP_054221890;XP_054221891;XP_054221892;XP_054221893;XP_054221894;XP_054221895;XP_054221896;XP_054221897;XP_054221898;XP_054221899;XP_054221900;XP_054221901;XP_054221902;XP_054221903;XP_054221904;XP_054221905;XP_054221906;XP_054221907;XP_054221908;XP_054221909;XP_054221910;XP_054221911;XP_054221912;XP_054221913;XP_054221914;XP_054221915;NP_001003407;NP_001309811;NP_001309812;NP_001309813;NP_001309814;NP_001309815;NP_001309816;NP_001309817;NP_001309818;NP_001309819;NP_001309820;NP_001309821;NP_001309822;NP_001309823;NP_001309824;NP_001309825;NP_001309826;NP_001309827;NP_001309828;NP_001309829;NP_001339369;NP_001339370;NP_001339371;NP_001339372;NP_002304;NP_006711;O14639;A0A3B3IS55;A0A494C1G0;A0A494C1P1;F6XFR5;F8W8M4;H0Y7N6;ENSP00000433629;ENSP00000376679;ENSP00000376682;ENSP00000358257;ENSP00000358260;ENSP00000497150;ENSP00000499023;ENSP00000499163;ENSP00000414154;ENSP00000400934
ABLIM2	84448	4	4p16.1	41	XP_005248071;XP_005248074;XP_005248076;XP_005248077;XP_005248078;XP_005248079;XP_005248080;XP_005248081;XP_005248084;XP_005248085;XP_005248086;XP_005248087;XP_005248088;XP_006713986;XP_006713987;XP_006713988;XP_006713990;XP_011511888;XP_016864204;XP_016864209;XP_016864212;XP_016864214;XP_047272253;XP_047272254;XP_047272255;XP_047272256;XP_047272257;XP_047272258;XP_047272259;XP_047272261;XP_047272262;XP_047272263;XP_047272264;XP_047272265;XP_047272266;XP_047272267;XP_047272268;XP_047272269;XP_047272270;XP_047272271;XP_047272272;XP_047272273;XP_047272274;XP_054207023;XP_054207024;XP_054207025;XP_054207026;XP_054207027;XP_054207028;XP_054207029;XP_054207030;XP_054207031;XP_054207032;XP_054207033;XP_054207034;XP_054207035;XP_054207036;XP_054207037;XP_054207038;XP_054207039;XP_054207040;XP_054207041;XP_054207042;XP_054207043;XP_054207044;XP_054207045;XP_054207046;XP_054207047;XP_054207048;XP_054207049;XP_054207050;XP_054207051;XP_054207052;XP_054207053;XP_054207054;XP_054207055;XP_054207056;XP_054207057;XP_054207058;XP_054207059;XP_054207060;XP_054207061;XP_054207062;XP_054207063;XP_054207064;XP_054207065;NP_001123555;NP_001123556;NP_001123557;NP_001123558;NP_001123559;NP_001123560;NP_001273617;NP_115808;Q6H8Q1;A0A7I2V5G9;D6RAL0;F5GYR0;ENSP00000504601;ENSP00000354887;ENSP00000393511;ENSP00000423661;ENSP00000441255;ENSP00000342813;ENSP00000355003;ENSP00000384658;ENSP00000421283;ENSP00000389410;ENSP00000421718
ABLIM3	22885	5	5q32	37	XP_005268451;XP_011535911;XP_024301772;XP_024301774;XP_054208068;XP_054208069;XP_054208070;XP_054208071;NP_001287944;NP_001287947;NP_001287957;NP_001332787;NP_001332788;NP_001332789;NP_001332790;NP_001357346;NP_001357347;NP_055760;O94929;A0A0A0MRD5;A0A0C4DGA7;D6RHE7;ENSP00000315841;ENSP00000310309;ENSP00000425394;ENSP00000421002;ENSP00000421183;ENSP00000420855;ENSP00000430150;ENSP00000348938
ABR	29	17	17p13.3	59	NP_001083;NP_001153218;NP_001243776;NP_001269078;NP_001309769;NP_001309770;NP_001309771;NP_068781;Q12979;A0A0G2JQ41;A0A1C7CYZ0;B7Z683;I3L4Y1;A0A0D9SGD7;A0A0G2JQB5;A0A0G2JQM3;A0A0G2JQT5;A0A0G2JRC2;A0A0G2JRJ1;A0A0G2JRW2;A0A0G2JSE0;I3L0R7;I3L1U8;I3L259;I3L2C0;I3L2L3;I3L2P5;I3L379;I3L3W0;I3NI05;ENSP00000303909;ENSP00000461629;ENSP00000442048;ENSP00000459553;ENSP00000461795;ENSP00000461565;ENSP00000291107;ENSP00000445198;ENSP00000437429;ENSP00000460248;ENSP00000487388;ENSP00000458294;ENSP00000459118;ENSP00000459820;ENSP00000460770;ENSP00000459761;ENSP00000459406
ABRACL	58527	6	6q24.1	35	XP_016866640;XP_047275153;XP_054212103;XP_054212104;XP_054212105;NP_067066;Q9P1F3;Q5SZC9;ENSP00000356632;ENSP00000418406
ABRAXAS1	84142	4	4q21.23	43	NP_001332891;NP_620775;Q6UWZ7;A0A087WWJ9;D6REL5;A0A087WXK1;A0A087WZ78;D6RAN3;D6RHI5;E9PHB9;ENSP00000369857;ENSP00000426080;ENSP00000426763;ENSP00000482434;ENSP00000480277;ENSP00000421876;ENSP00000481099;ENSP00000421068
ABRAXAS2	23172	10	10q26.13	48	XP_047280844;XP_047280844;XP_047280845;XP_047280845;XP_047280847;XP_047280847;XP_054221292;XP_054221292;XP_054221293;XP_054221293;XP_054221294;XP_054221294;NP_115558;NP_115558;Q15018;Q15018;ENSP00000298492;ENSP00000298492
ABT1	29777	6	6p22.2	28	NP_037507;Q9ULW3;ENSP00000274849
ABTB1	80325	3	3q21.3	12	XP_006713832;XP_016862774;XP_016862775;XP_054203993;XP_054203994;XP_054203995;XP_054203996;XP_054203997;NP_115937;NP_742024;Q969K4;F2Z3F5;H7C4W8;ENSP00000420748;ENSP00000232744;ENSP00000412684;ENSP00000418641;ENSP00000417366;ENSP00000418439
ABTB2	25841	11	11p13	28	NP_665803;Q8N961;ENSP00000410157
ACAA1	30	3	3p22.2	49	XP_006713185;XP_011531952;XP_047304013;XP_054202367;XP_054202368;XP_054202369;NP_001123882;NP_001598;P09110;B4DVF4;C9JDE9;F2Z2Q6;F2Z3P7;H0Y4D4;H7C131;ENSP00000301810;ENSP00000414021;ENSP00000486456;ENSP00000333664;ENSP00000395183;ENSP00000391078;ENSP00000398172;ENSP00000389226;ENSP00000405785;ENSP00000403124
ACAA2	10449	18	18q21.1	56	NP_006102;P42765;A0A0B4J2A4;K7EJ68;K7EJB1;K7EME0;K7ER88;ENSP00000285093;ENSP00000466466;ENSP00000466015;ENSP00000465045;ENSP00000465095;ENSP00000468157
ACACA	31	17	17q12	56	XP_005257324;XP_006721916;XP_011523003;XP_011523005;XP_011523006;XP_047291834;XP_047291835;XP_047291836;XP_047291837;XP_047291838;XP_047291839;XP_047291840;XP_047291841;XP_047291842;XP_047291844;XP_047291845;XP_047291846;XP_047291847;XP_047291848;XP_047291849;XP_047291850;XP_054171870;XP_054171871;XP_054171872;XP_054171873;XP_054171874;XP_054171875;XP_054171876;XP_054171877;XP_054171878;XP_054171879;XP_054171880;XP_054171881;XP_054171882;XP_054171883;XP_054171884;XP_054171885;XP_054171886;XP_054171887;XP_054185260;XP_054185261;XP_054185262;XP_054185263;XP_054185264;XP_054185265;XP_054185266;XP_054185267;XP_054185268;XP_054185269;XP_054185270;XP_054185271;XP_054185272;NP_942131;NP_942133;NP_942134;NP_942135;NP_942136;Q13085;A0A087X126;A0A087WVR6;A0A087WWN5;A0A087WYK6;A0A087WYS8;A0A087X0W4;A0A087X2F8;A0A0C4DGT1;Q59FY4;ENSP00000483300;ENSP00000482269;ENSP00000478547;ENSP00000483969;ENSP00000482368;ENSP00000480371;ENSP00000482064;ENSP00000482498;ENSP00000483696;ENSP00000479621;ENSP00000481900;ENSP00000477912;ENSP00000483852;ENSP00000484948
ACACB	32	12	12q24.11	28	XP_011536565;XP_011536566;XP_011536567;XP_047284720;XP_047284721;XP_047284722;XP_047284723;XP_047284724;XP_054227889;XP_054227890;XP_054227891;XP_054227892;XP_054227893;XP_054227894;XP_054227895;NP_001084;NP_001399663;NP_001399664;NP_001399665;NP_001399666;NP_001399667;NP_001399668;NP_001399670;NP_001399671;O00763;A0A087WUA1;F5H5C3;F8W8T8;H0YGH5;S4R3S7;ENSP00000341044;ENSP00000443494;ENSP00000367085;ENSP00000367079;ENSP00000474680;ENSP00000443281;ENSP00000478488
ACAD10	80724	12	12q24.12	29	NP_001130010;NP_079523;Q6JQN1;D6RFF6;F8VXK4;F8W0Q4;F8W179;F8W1A9;F8W1I9;ENSP00000325137;ENSP00000421527;ENSP00000446959;ENSP00000389813;ENSP00000446998;ENSP00000449097;ENSP00000447561;ENSP00000446711
ACAD11	84129	3	3q22.1	24	NP_115545;Q709F0;D6RDI8;F8WEV0;H0Y9C6;ENSP00000264990;ENSP00000419973;ENSP00000423796;ENSP00000420907
ACAD8	27034	11	11q25	37	XP_005271562;XP_011541052;XP_047282724;XP_047282725;XP_047282726;XP_054224399;XP_054224400;XP_054224401;XP_054224402;XP_054224403;NP_055199;Q9UKU7;E9PKP9;E9PLS3;ENSP00000431532;ENSP00000431310;ENSP00000363884;ENSP00000281182
ACAD9	28976	3	3q21.3	41	XP_024309252;XP_054202337;NP_001397734;NP_054768;Q9H845;A0A7P0T7Z1;A0A7P0T871;A0A7P0T8U3;A0A7P0T9N9;A0A7P0TB58;A0A7P0TB68;A0A7P0Z450;D6R9Z3;D6RCD8;D6RDK9;D6RGK6;D6RJA8;H0Y8Z9;Q9H9W4;ENSP00000504971;ENSP00000505309;ENSP00000506340;ENSP00000422020;ENSP00000506316;ENSP00000504886;ENSP00000427283;ENSP00000312618;ENSP00000426277;ENSP00000425226;ENSP00000505699;ENSP00000505434;ENSP00000426189;ENSP00000423758;ENSP00000506500;ENSP00000506440;ENSP00000505126;ENSP00000425346;ENSP00000505243;ENSP00000505516;ENSP00000506228;ENSP00000422683
ACADL	33	2	2q34	18	XP_005246574;XP_047300059;XP_054197656;XP_054197657;NP_001599;P28330;ENSP00000233710
ACADM	34	1	1p31.1	49	NP_000007;NP_001120800;NP_001272971;NP_001272972;NP_001272973;P11310;Q5T4U5;A0A7P0T8B6;A0A7P0T8G6;A0A7P0T8J9;A0A7P0T932;A0A7P0T9W7;A0A7P0TA39;A0A7P0TA63;A0A7P0TAB2;A0A7P0TAZ5;A0A7P0TB28;A0A7P0TB51;A0A7P0TB55;A0A7P0TBD1;A0A7P0TBF2;A0A7P0Z4Q0;E9PIX8;E9PJM9;E9PLN7;E9PQA8;E9PRX4;F6YB23;H0YDT5;ENSP00000505803;ENSP00000505670;ENSP00000505770;ENSP00000506244;ENSP00000505961;ENSP00000442324;ENSP00000505565;ENSP00000506114;ENSP00000506487;ENSP00000505122;ENSP00000505447;ENSP00000506025;ENSP00000506616;ENSP00000505877;ENSP00000506301;ENSP00000505658;ENSP00000506454;ENSP00000506679;ENSP00000505130;ENSP00000505073;ENSP00000505111;ENSP00000505441;ENSP00000506477;ENSP00000434092;ENSP00000431953;ENSP00000432522;ENSP00000506541;ENSP00000359871;ENSP00000359878;ENSP00000506623;ENSP00000505438;ENSP00000505275;ENSP00000431372;ENSP00000506598;ENSP00000505660;ENSP00000435584;ENSP00000434823;ENSP00000505117;ENSP00000505080;ENSP00000409612;ENSP00000434284
ACADS	35	12	12q24.31	44	NP_000008;NP_001289483;P16219;E9PE82;ENSP00000242592;ENSP00000401045
ACADSB	36	10	10q26.13	42	NP_001317103;NP_001600;P45954;ENSP00000357862;ENSP00000357873
ACADVL	37	17	17p13.1	51	XP_006721579;XP_011522131;XP_011522132;XP_047291887;XP_047291888;XP_054171953;XP_054171954;XP_054171955;XP_054171956;XP_054171957;NP_000009;NP_001029031;NP_001257376;NP_001257377;P49748;G3V1M7;J3KS89;J3KSR4;J3QKU9;J3QRJ8;J9JID6;K7EJW8;K7EMF8;K7EQP4;ENSP00000438689;ENSP00000325395;ENSP00000467920;ENSP00000344152;ENSP00000465353;ENSP00000349297;ENSP00000463246;ENSP00000462366;ENSP00000462611;ENSP00000442082;ENSP00000464254;ENSP00000466487
ACAN	176	15	15q26.1	29	XP_047288170;XP_047288171;XP_047288172;XP_047288173;XP_054233409;XP_054233410;XP_054233411;XP_054233412;NP_001126;NP_001356197;NP_001398025;NP_001398026;NP_037359;P16112;H0YMF1;A0A5K1VW97;Q6PID9;H0YK70;ENSP00000453581;ENSP00000453342;ENSP00000387356;ENSP00000453003;ENSP00000453499;ENSP00000341615;ENSP00000452682
ACAP1	9744	17	17p13.1	25	XP_047293106;XP_047293107;XP_047293108;XP_054173944;XP_054173945;XP_054173946;XP_054188636;XP_054188637;XP_054188638;NP_055531;Q15027;I3L0K9;I3L268;ENSP00000158762;ENSP00000458173;ENSP00000459422
ACAP2	23527	3	3q29	60	XP_006713620;XP_011510904;XP_011510905;XP_016861535;XP_016861536;XP_016861537;XP_016861538;XP_047303790;XP_047303791;XP_047303792;XP_047303793;XP_047303794;XP_054201885;XP_054201886;XP_054201887;XP_054201888;XP_054201889;XP_054201890;XP_054201891;XP_054201892;XP_054201893;XP_054201894;XP_054201895;XP_054201896;NP_036419;Q15057;A0A0U1RQT1;A0A5F9ZHJ9;H7C3K3;H7C3Q8;C9J8L1;F8WAU0;ENSP00000324287;ENSP00000500381;ENSP00000412338;ENSP00000489156;ENSP00000413388;ENSP00000411336;ENSP00000405262
ACAP3	116983	1	1p36.33	26	XP_005244772;XP_005244774;XP_011538908;XP_011538909;XP_011538910;XP_011538911;XP_024308761;XP_054190147;XP_054190148;XP_054190149;XP_054190150;XP_054190151;XP_054190152;XP_054190153;NP_085152;Q96P50;F8W850;ENSP00000346733;ENSP00000321139;ENSP00000347075
ACAT1	38	11	11q22.3	56	NP_000010;NP_001373606;NP_001373607;NP_001373608;NP_001373610;NP_001373611;NP_001373614;NP_001373615;NP_001373616;NP_001373617;NP_001373618;NP_001373619;NP_001373620;P24752;A0A5F9ZHL1;A0A5F9ZHD4;A0A5F9ZHH9;A0A5F9ZHJ0;A0A5F9ZHJ7;A0A5F9ZHL7;A0A5F9ZI66;E9PRQ6;H0YEL7;ENSP00000500444;ENSP00000500366;ENSP00000299355;ENSP00000500463;ENSP00000500163;ENSP00000265838;ENSP00000500209;ENSP00000500928;ENSP00000500490;ENSP00000435965;ENSP00000500499;ENSP00000436096
ACAT2	39	6	6q25.3	44	NP_001290182;NP_005882;Q9BWD1;ENSP00000356015
ACBD3	64746	1	1q42.12	61	NP_073572;Q9H3P7;ENSP00000355777
ACBD4	79777	17	17q21.31	17	XP_006722148;XP_011523561;XP_011523563;XP_016880573;XP_016880576;XP_016880577;XP_016880578;XP_016880579;XP_016880581;XP_016880582;XP_016880584;XP_016880585;XP_016880586;XP_016880588;XP_016880589;XP_016880590;XP_047292716;XP_047292717;XP_047292718;XP_047292719;XP_047292720;XP_047292721;XP_047292722;XP_047292723;XP_047292724;XP_047292725;XP_047292726;XP_047292728;XP_054173208;XP_054173209;XP_054173210;XP_054173211;XP_054173212;XP_054173213;XP_054173214;XP_054173215;XP_054173216;XP_054173217;XP_054173218;XP_054173219;XP_054173220;XP_054173221;XP_054173222;XP_054173223;XP_054173224;XP_054173225;XP_054173226;XP_054173227;XP_054173228;XP_054173229;XP_054173230;XP_054173231;XP_054173232;XP_054173233;XP_054173234;XP_054173235;XP_054173236;XP_054173237;XP_054173238;XP_054173239;NP_001129177;NP_001129178;NP_001129179;NP_001308281;NP_001308282;NP_001365040;NP_001365041;NP_001398054;NP_078998;Q8NC06;K7EM05;K7EMH4;ENSP00000482750;ENSP00000405969;ENSP00000465610;ENSP00000465484;ENSP00000314440;ENSP00000381367;ENSP00000466305;ENSP00000366154;ENSP00000466505
ACBD5	91452	10	10p12.1	52	XP_016872373;XP_016872374;XP_016872376;XP_016872377;XP_016872378;XP_016872379;XP_016872382;XP_016872383;XP_016872384;XP_016872385;XP_016872387;XP_024304016;XP_024304017;XP_047281949;XP_047281950;XP_047281951;XP_047281952;XP_054223100;XP_054223101;XP_054223102;XP_054223103;XP_054223104;XP_054223105;XP_054223106;XP_054223107;XP_054223108;XP_054223109;XP_054223110;XP_054223111;XP_054223112;XP_054223113;XP_054223114;XP_054223115;NP_001035938;NP_001258441;NP_001288180;NP_001288181;NP_001288182;NP_001288183;NP_001339497;NP_001339498;NP_001339499;NP_001339500;NP_001339501;NP_001339502;NP_001339503;NP_001339504;NP_001339505;NP_001339506;NP_001339507;NP_001339508;NP_001339509;NP_001339510;NP_001339511;NP_001339512;NP_001339513;NP_001339514;NP_001339515;NP_001339516;NP_001339517;NP_663736;Q5T8D3;B7Z2R7;A0A7I2V2M2;A0A7I2V2Y9;A0A7I2V347;A0A7I2V420;A0A7I2V556;A0A7I2V560;A0A7I2V5E1;A0A7I2V5L4;A0A7I2V5U2;A0A7I2V690;A0A7I2YQD7;A0A7I2YQE9;A0A7I2YQJ9;A0A087X0B8;A0A7I2V2R8;A0A7I2V462;A0A7I2YQS1;Q5T8E0;X6RDD7;ENSP00000504580;ENSP00000504333;ENSP00000503467;ENSP00000379568;ENSP00000365062;ENSP00000365066;ENSP00000365070;ENSP00000503631;ENSP00000503053;ENSP00000503864;ENSP00000504029;ENSP00000504374;ENSP00000504726;ENSP00000503831;ENSP00000503208;ENSP00000503715;ENSP00000504367;ENSP00000503264;ENSP00000502986;ENSP00000504666;ENSP00000503800;ENSP00000503415;ENSP00000504499;ENSP00000365049;ENSP00000503158;ENSP00000483256;ENSP00000401591;ENSP00000393398
ACBD6	84320	1	1q25.2-q25.3	32	XP_047288036;XP_047288037;XP_047288038;XP_047288039;XP_047288040;XP_047288041;XP_054195160;XP_054195161;XP_054195162;XP_054195163;XP_054195164;XP_054195165;NP_115736;Q9BR61;A0A2R8Y544;ENSP00000494507;ENSP00000495710;ENSP00000356567
ACBD7	414149	10	10p13	21	NP_001034933;Q8N6N7;ENSP00000367453
ACCS	84680	11	11p11.2	4	XP_005253227;XP_005253229;XP_006718411;XP_011518708;XP_011518709;XP_016873910;XP_024304486;XP_024304487;XP_047283673;XP_047283674;XP_047283675;XP_054226181;XP_054226182;XP_054226183;XP_054226184;XP_054226185;XP_054226186;XP_054226187;XP_054226188;XP_054226189;XP_054226190;XP_054226191;NP_001120691;NP_115981;Q96QU6;E9PRT9;E9PS61;ENSP00000434156;ENSP00000263776;ENSP00000435919
ACD	65057	16	16q22.1	38	NP_001075955;NP_001397813;NP_075065;Q96AP0;A0A8Q3SHY1;A0A8Q3SHY4;A0A8Q3WKP5;A0A8Q3WLR8;A0A8Q3WLT1;A0A8Q3WM11;R4GMR6;R4GNJ5;A0A8Q3SHZ0;A0A8Q3SI14;A0A8Q3SI32;A0A8Q3SI48;A0A8Q3SI54;A0A8Q3WKN9;A0A8Q3WKP4;A0A8Q3WKU3;A0A8Q3WM19;R4GND4;ENSP00000512124;ENSP00000478084;ENSP00000512105;ENSP00000512125;ENSP00000512126;ENSP00000512127;ENSP00000219251;ENSP00000473313;ENSP00000512091;ENSP00000512088;ENSP00000473679;ENSP00000512109;ENSP00000512089;ENSP00000512081;ENSP00000512110;ENSP00000512106;ENSP00000473595;ENSP00000512090;ENSP00000512129;ENSP00000512111;ENSP00000512082
ACE	1636	17	17q23.3	32	XP_006721800;XP_054171272;NP_000780;NP_001171528;NP_001369629;NP_001369630;NP_001369631;NP_690043;P12821;A0A0A0MSN4;J3KRH5;J3KS28;J3KSQ5;J3KTB8;J3KTH9;J3QLR4;J3QSC7;ENSP00000462995;ENSP00000290866;ENSP00000397593;ENSP00000462280;ENSP00000463673;ENSP00000290863;ENSP00000462002;ENSP00000462110;ENSP00000392247;ENSP00000462599;ENSP00000464629;ENSP00000462909
ACE2	59272	X	Xp22.2	15	NP_001358344;NP_001373188;NP_001373189;NP_001375381;NP_001376331;NP_068576;Q9BYF1;A0A7I2V2E9;A0A7I2V3N4;A0A7I2V3X6;A0A7I2V4H0;A0A7I2V5W5;ENSP00000503771;ENSP00000503558;ENSP00000504010;ENSP00000502872;ENSP00000504747;ENSP00000505992;ENSP00000389326;ENSP00000504103;ENSP00000252519;ENSP00000504643
ACIN1	22985	14	14q11.2	63	XP_005267472;XP_005267473;XP_005267475;XP_006720144;XP_011534872;XP_024305280;XP_047287069;XP_047287070;XP_047287071;XP_047287072;XP_047287073;XP_047287074;XP_047287075;XP_047287076;XP_054231585;XP_054231586;XP_054231587;XP_054231588;XP_054231589;XP_054231590;XP_054231591;XP_054231592;XP_054231593;XP_054231594;XP_054231595;XP_054231596;XP_054231597;NP_001158286;NP_001158287;NP_001158288;NP_001158289;NP_001373792;NP_055792;Q9UKV3;E7EQT4;G3V3B0;S4R3H4;A0A087WYN3;A0A087X0D2;G3V3T3;ENSP00000451138;ENSP00000474349;ENSP00000483298;ENSP00000345541;ENSP00000350073;ENSP00000262710;ENSP00000405677;ENSP00000380502;ENSP00000451328;ENSP00000451410;ENSP00000481955
ACLY	47	17	17q21.2	62	XP_005257452;NP_001087;NP_001290203;NP_001290204;NP_942127;P53396;K7EIE7;K7ESG8;ENSP00000466259;ENSP00000253792;ENSP00000345398;ENSP00000445349;ENSP00000377474;ENSP00000464717;ENSP00000468705
ACO1	48	9	9p21.1	54	XP_047279386;XP_054218981;XP_054218982;NP_001265281;NP_001349769;NP_002188;P21399;ENSP00000438733;ENSP00000369255;ENSP00000309477
ACO2	50	22	22q13.2	59	XP_054181635;NP_001089;Q99798;A0A7I2V3F1;A0A7I2V3U0;A0A7I2V586;A0A7I2V5A1;A0A7I2V5T4;A0A7I2V614;A0A7I2V2Y4;A0A7I2V3C8;A0A7I2V3U7;A0A7I2V499;A0A7I2V4I8;A0A7I2V538;A0A7I2V5U4;A0A7I2V5W7;A0A7I2V6A6;A2A274;ENSP00000503371;ENSP00000504513;ENSP00000504780;ENSP00000504719;ENSP00000216254;ENSP00000504699;ENSP00000503990;ENSP00000503370;ENSP00000504684;ENSP00000504634;ENSP00000504377;ENSP00000503590;ENSP00000504453;ENSP00000503199;ENSP00000379769;ENSP00000504150;ENSP00000503471;ENSP00000503913;ENSP00000503709
ACOT1	641371	14	14q24.3	39	XP_016877078;XP_016877079;XP_054232550;XP_054232551;NP_001032238;Q86TX2;G3V4F2;ENSP00000311224;ENSP00000451764
ACOT11	26027	1	1p32.3	38	NP_056362;NP_671517;Q8WXI4;ENSP00000340260;ENSP00000360366
ACOT13	55856	6	6p22.3	43	NP_001153566;NP_060943;Q9NPJ3;ENSP00000445552;ENSP00000230048
ACOT2	10965	14	14q24.3	10	NP_001351106;NP_001351107;NP_006812;P49753;A0A087WT95;F6VI00;ENSP00000440961;ENSP00000238651;ENSP00000477685
ACOT4	122970	14	14q24.3	13	NP_689544;Q8N9L9;ENSP00000323071
ACOT7	11332	1	1p36.31	42	XP_047299355;XP_054190023;NP_009205;NP_863654;NP_863655;NP_863656;O00154;K7EKP8;ENSP00000476610;ENSP00000354615;ENSP00000367073;ENSP00000367076;ENSP00000367086;ENSP00000367091;ENSP00000402532;ENSP00000439218;ENSP00000465719
ACOT8	10005	20	20q13.12	36	XP_005260296;XP_047295765;XP_047295766;XP_047295767;XP_054178783;XP_054178784;XP_054178785;XP_054178786;NP_005460;O14734;A0A494C0N6;E9PIS4;E9PJN0;E9PRD4;F6VBM3;H0Y698;H7C5A7;Q9BR14;ENSP00000217455;ENSP00000435581;ENSP00000498636;ENSP00000435115;ENSP00000419403;ENSP00000434216;ENSP00000433923;ENSP00000403862;ENSP00000416217
ACOT9	23597	X	Xp22.11	43	NP_001028755;NP_001032248;NP_001317188;Q9Y305;C9J7L8;F8WDI2;H7C5Q2;ENSP00000368605;ENSP00000336580;ENSP00000368597;ENSP00000420238;ENSP00000420490;ENSP00000417778
ACOX1	51	17	17q25.1	47	XP_047292138;XP_047292139;XP_054172311;XP_054172312;NP_001171968;NP_004026;NP_009223;Q15067;I3L0T4;I3L2U4;I3L4S5;K7ELT1;K7ENF1;K7ESC7;ENSP00000293217;ENSP00000301608;ENSP00000468651;ENSP00000466921;ENSP00000459936;ENSP00000458325;ENSP00000466210;ENSP00000468435;ENSP00000461486
ACOX2	8309	3	3p14.3	24	XP_005265562;XP_006713403;XP_047304998;XP_054204027;XP_054204028;XP_054204029;NP_003491;Q99424;C9J0G0;C9JY29;H7C4Q2;H7C4Y2;H7C573;ENSP00000307697;ENSP00000418562;ENSP00000417877;ENSP00000418515;ENSP00000419133;ENSP00000419927
ACOX3	8310	4	4p16.1	36	XP_011511867;XP_011511868;XP_024310005;XP_047272185;XP_047272186;XP_047272187;XP_047272189;XP_047272190;XP_054206919;XP_054206920;XP_054206921;XP_054206922;XP_054206923;XP_054206924;XP_054206925;NP_001095137;NP_001362712;NP_001362713;NP_001362714;NP_001362715;NP_001362716;NP_001362717;NP_001362718;NP_001362719;NP_003492;O15254;D6RJ89;ENSP00000348775;ENSP00000413994;ENSP00000421625;ENSP00000427321
ACP1	52	2	2p25.3	53	NP_001035739;NP_004291;NP_009030;P24666;D3YTI2;G5E9R5;F2Z2Q9;F2Z2R9;ENSP00000410331;ENSP00000385404;ENSP00000389681;ENSP00000408596;ENSP00000384184;ENSP00000384307;ENSP00000272065;ENSP00000272067;ENSP00000411121
ACP2	53	11	11p11.2|11p12-p11	38	NP_001289418;NP_001289419;NP_001289420;NP_001289421;NP_001343945;NP_001601;P11117;A0A5F9ZH40;A0A5F9ZH82;A0A5F9ZHR7;A0A5F9ZI20;B7Z6U3;B7Z7D2;E9PHY0;E9PQY3;ENSP00000500291;ENSP00000500571;ENSP00000256997;ENSP00000436658;ENSP00000432205;ENSP00000500836;ENSP00000432439;ENSP00000500010;ENSP00000500179;ENSP00000500408
ACP3	55	3	3q22.1	27	XP_011511248;XP_011511249;XP_054203008;XP_054203009;NP_001090;NP_001127666;NP_001278966;P15309;E9PFE6;H0Y8T3;ENSP00000418366;ENSP00000417744;ENSP00000337471;ENSP00000323036;ENSP00000422036
ACP5	54	19	19p13.2	27	XP_005259995;XP_011526371;XP_047294900;XP_047294901;XP_054177203;XP_054177204;XP_054177205;XP_054177206;NP_001104504;NP_001104505;NP_001104506;NP_001308952;NP_001602;P13686;A0A8Q3SI79;A0A8Q3WKS1;A0A8Q3WKT0;A0A3B3IS75;A0A8Q3WKS0;A0A8Q3WLB6;K7EIP0;K7EJD9;K7ESF2;ENSP00000468767;ENSP00000465127;ENSP00000496973;ENSP00000512173;ENSP00000465498;ENSP00000512189;ENSP00000512190;ENSP00000468685;ENSP00000512198;ENSP00000512191;ENSP00000512192;ENSP00000512193;ENSP00000497140;ENSP00000512194;ENSP00000464831;ENSP00000392374;ENSP00000218758;ENSP00000512195;ENSP00000512199;ENSP00000512196;ENSP00000512197
ACP6	51205	1	1q21.2	30	XP_011507903;XP_054192891;NP_001310554;NP_057445;Q9NPH0;A0A087WW36;A0A087WWB7;A0A087WYU6;A0A0A0MS36;V9GZ71;ENSP00000477476;ENSP00000463574;ENSP00000481777;ENSP00000376714;ENSP00000480100;ENSP00000482100;ENSP00000479906
ACSBG1	23205	15	15q25.1	8	XP_011519692;XP_011519693;XP_016877514;XP_047288229;XP_054233533;XP_054233534;XP_054233535;XP_054233536;XP_054233537;NP_001186306;NP_055977;Q96GR2;F5H4U6;H0YM34;H0YMC3;H0YMF5;H0YMH2;H0YMZ0;H0YNX0;ENSP00000258873;ENSP00000453605;ENSP00000453451;ENSP00000453447;ENSP00000453585;ENSP00000454188;ENSP00000453547;ENSP00000453800
